gradebook_result_id,user_id,course_id,quiz_id,assignment_id,gradebook_id,result_for,grade_name,grade_point,earned_grade_point,earned_percent,generate_date,update_date
1,25,6137,NULL,6427,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
2,25,6137,NULL,6401,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
3,25,6137,NULL,6403,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
4,25,6137,NULL,6406,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
5,25,6137,NULL,6407,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
6,25,6137,NULL,6408,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
7,25,6137,NULL,6409,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
8,25,6137,NULL,6413,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
9,25,6137,NULL,6415,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
10,25,6137,NULL,6416,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
11,25,6137,NULL,6418,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
12,25,6137,NULL,6422,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
13,25,6137,NULL,6423,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
14,25,6137,NULL,6424,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
15,25,6137,NULL,6425,NULL,assignment,NULL,NULL,NULL,0,"2019-10-31 16:34:36","2019-12-11 11:26:39"
16,25,6137,NULL,NULL,NULL,final,NULL,NULL,0.00,0,"2019-10-31 16:34:36","2019-12-11 11:26:41"
17,189,6137,NULL,6427,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
18,189,6137,NULL,6401,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
19,189,6137,NULL,6403,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
20,189,6137,NULL,6406,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
21,189,6137,NULL,6407,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
22,189,6137,NULL,6408,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
23,189,6137,NULL,6409,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
24,189,6137,NULL,6413,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
25,189,6137,NULL,6415,NULL,assignment,NULL,NULL,NULL,0,"2019-11-29 03:06:43","2019-11-29 03:06:43"
