attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
1,1,7390,14,1,35,1.00,0.00,0.00,0
2,1,7390,15,1,40,1.00,0.00,0.00,0
3,1,7390,6,1,5,1.00,1.00,0.00,1
4,1,7390,11,1,24,1.00,1.00,0.00,1
5,1,7390,10,1,21,1.00,1.00,0.00,1
6,1,7390,8,1,"a:2:{i:0;s:2:"11";i:1;s:2:"14";}",1.00,1.00,0.00,1
7,1,7390,9,1,15,1.00,1.00,0.00,1
8,1,7390,16,1,43,1.00,1.00,0.00,1
9,1,7390,13,1,31,1.00,1.00,0.00,1
10,1,7390,12,1,27,1.00,0.00,0.00,0
11,1,7390,24,3,75,1.00,0.00,0.00,0
12,1,7390,27,3,89,1.00,0.00,0.00,0
13,1,7390,8,3,"a:1:{i:0;s:2:"13";}",1.00,0.00,0.00,0
14,1,7390,7,3,"a:2:{i:0;s:1:"8";i:1;s:1:"9";}",1.00,0.00,0.00,0
15,1,7390,6,3,5,1.00,1.00,0.00,1
16,1,7390,37,3,128,1.00,1.00,0.00,1
17,1,7390,33,3,112,1.00,0.00,0.00,0
18,1,7390,9,3,16,1.00,0.00,0.00,0
19,1,7390,14,3,37,1.00,0.00,0.00,0
20,1,7390,12,3,28,1.00,0.00,0.00,0
21,1,7390,33,4,112,1.00,0.00,0.00,0
22,1,7390,27,4,90,1.00,0.00,0.00,0
23,1,7390,38,4,133,1.00,0.00,0.00,0
24,1,7390,7,4,"a:1:{i:0;s:2:"10";}",1.00,0.00,0.00,0
25,1,7390,11,4,26,1.00,0.00,0.00,0
26,1,7390,17,4,47,1.00,0.00,0.00,0
27,1,7390,18,4,51,1.00,1.00,0.00,1
28,1,7390,14,4,36,1.00,1.00,0.00,1
29,1,7390,30,5,99,1.00,1.00,0.00,1
30,1,7390,33,5,113,1.00,1.00,0.00,1
31,1,7390,11,5,24,1.00,1.00,0.00,1
32,1,7390,15,5,40,1.00,0.00,0.00,0
33,1,7390,38,5,132,1.00,1.00,0.00,1
34,1,7390,6,5,5,1.00,1.00,0.00,1
35,1,7390,9,5,15,1.00,1.00,0.00,1
36,1,7390,25,5,79,1.00,1.00,0.00,1
37,1,7390,26,5,84,1.00,0.00,0.00,0
38,1,7390,36,5,123,1.00,1.00,0.00,1
39,1,7390,16,6,43,1.00,1.00,0.00,1
40,1,7390,24,6,75,1.00,0.00,0.00,0
41,1,7390,10,6,21,1.00,1.00,0.00,1
42,1,7390,35,6,120,1.00,1.00,0.00,1
43,1,7390,31,6,104,1.00,1.00,0.00,1
44,1,7390,27,6,88,1.00,1.00,0.00,1
45,1,7390,45,6,155,1.00,1.00,0.00,1
46,1,7390,39,6,"a:1:{i:0;s:3:"136";}",1.00,0.00,0.00,0
47,1,7390,47,6,164,1.00,1.00,0.00,1
48,1,7390,34,6,117,1.00,1.00,0.00,1
49,1,7474,52,7,203,1.00,1.00,0.00,1
50,1,7474,49,7,182,1.00,1.00,0.00,1
51,1,7474,50,7,188,1.00,1.00,0.00,1
52,1,7474,51,7,195,1.00,1.00,0.00,1
53,1,7474,48,7,168,1.00,1.00,0.00,1
54,1,7474,52,8,203,1.00,1.00,0.00,1
55,1,7474,50,8,188,1.00,1.00,0.00,1
56,1,7474,55,8,228,1.00,1.00,0.00,1
57,1,7474,56,8,234,1.00,1.00,0.00,1
58,1,7474,49,8,182,1.00,1.00,0.00,1
59,1,7474,54,8,217,1.00,1.00,0.00,1
60,1,7474,58,8,253,1.00,1.00,0.00,1
