answer_id,belongs_question_id,belongs_question_type,answer_title,is_correct,image_id,answer_two_gap_match,answer_view_format,answer_settings,answer_order
1,5,single_choice,ไม่สนใจรายละเอียดที่ไม่จำเป็นในปัญหา,0,0,NULL,text,NULL,1
2,5,single_choice,"แก้ไขปัญหาทั่วไป เพื่อให้สามารถแก้ไขได้ง่ายขึ้น",0,0,NULL,text,NULL,2
3,5,single_choice,การแบ่งปัญหาหรือระบบที่ซับซ้อนออกเป็นปัญหาย่อยที่เล็กกว่าและจัดการได้มากกว่า,1,0,NULL,text,NULL,3
4,5,single_choice,จัดลำดับความสำคัญของงานภายในปัญหาและกำหนดลำดับการปฏิบัติงาน,0,0,NULL,text,NULL,4
5,6,single_choice,True,1,0,NULL,text,NULL,1
6,6,single_choice,False,0,0,NULL,text,NULL,2
7,7,multiple_choice,การพิจารณาว่าต้องการข้อมูลใดบ้าง,1,0,NULL,text,NULL,1
8,7,multiple_choice,การแบ่งปัญหาออกเป็นปัญหาย่อยที่เล็กกว่า,NULL,0,NULL,text,NULL,2
9,7,multiple_choice,การสรุปข้อมูลที่ไม่สำคัญ,1,0,NULL,text,NULL,3
10,7,multiple_choice,ค้นหารูปแบบในข้อมูลนั้นๆ,NULL,0,NULL,text,NULL,4
11,8,multiple_choice,"จะต้องทำอะไรบ้าง (คำสั่ง)",1,0,NULL,text,NULL,1
12,8,multiple_choice,เวลาที่ต้องทำการสั่งคำสั่ง,NULL,0,NULL,text,NULL,2
13,8,multiple_choice,ลำดับของคำแนะนำ,NULL,0,NULL,text,NULL,3
14,8,multiple_choice,"คำอธิบายว่า คอมพิวเตอร์จะปฏิบัติตามคำสั่งแต่ละวิธีอย่างไร",1,0,NULL,text,NULL,4
15,9,single_choice,"ศาสตร์เกี่ยวกับการศึกษาค้นคว้าทฤษฎีการคำนวณสำหรับคอมพิวเตอร์ และทฤษฎีการประมวลผลสารสนเทศ ทั้งด้านซอฟต์แวร์ ฮาร์ดแวร์ และ เครือข่าย",1,0,NULL,text,NULL,1
16,9,single_choice,"ศาสตร์ที่เกี่ยวข้องกับการออกแบบและสร้างเครื่องหรือระบบคอมพิวเตอร์ และ ระบบที่ใช้คอมพิวเตอร์ ศาสตร์นี้เกี่ยวข้องกับการศึกษาทางด้านฮาร์ดแวร์ ซอฟต์แวร์ การสื่อสาร",0,0,NULL,text,NULL,2
17,9,single_choice,"ศาสตร์ที่เป็นการศึกษาการเก็บ การวิเคราะห์ การตีความ การนำเสนอ และการจัดระเบียบข้อมูล",0,0,NULL,text,NULL,3
18,9,single_choice,"ศาสตร์ที่นำข้อมูลมาผ่านระบบการประมวลผล คำนวณ วิเคราะห์และแปลความหมายเป็นข้อความที่สามารถนำไปใช้ประโยชน์ในด้านต่างๆ",0,0,NULL,text,NULL,4
19,10,single_choice,"1 1 0 0 1 0 1 0",0,0,NULL,text,NULL,1
20,10,single_choice,"1 1 1 0 1 1 1 0",0,0,NULL,text,NULL,2
21,10,single_choice,"1 1 1 0 1 0 1 0",1,0,NULL,text,NULL,3
22,10,single_choice,"1 0 1 0 1 0 1 1",0,0,NULL,text,NULL,4
23,11,single_choice,66,0,0,NULL,text,NULL,1
24,11,single_choice,55,1,0,NULL,text,NULL,2
25,11,single_choice,44,0,0,NULL,text,NULL,3
26,11,single_choice,33,0,0,NULL,text,NULL,4
27,12,single_choice,"รหัสมาตรฐานของการพัฒนาเทคโนโลยี และสารสนเทศขั้นพื้นฐาน",0,0,NULL,text,NULL,1
28,12,single_choice,"รหัสมาตรฐานเพื่อการประมวลผลข้อมูล ผ่านทางอินเตอร์พลีเตอร์",0,0,NULL,text,NULL,2
29,12,single_choice,รหัสมาตรฐานสำหรับการเขียนโปรแกรมขั้นพื้นฐานทางคอมพิวเตอร์,0,0,NULL,text,NULL,3
30,12,single_choice,รหัสมาตรฐานของสหรัฐอเมริกาเพื่อการแลกเปลี่ยนสารสนเทศ,1,0,NULL,text,NULL,4
31,13,single_choice,"ทุกแผนภาพต้องลูกศรแสดงทิศทางการเข้า และออก",1,0,NULL,text,NULL,1
